Data Generated by,Optosky,,,,
429,1288.0917,11468,10781,687,146.76323493088606
430,1290.4319,11248,10669,579,148.07503246968278
431,1292.7712,11152,10642,510,149.4021070297407
432,1295.1094,11234,10733,501,150.79680162312437
433,1297.4466,11370,10702,668,152.32849688035026
434,1299.7827,11424,10682,742,153.99800769310056
435,1302.1178,11338,10624,714,155.8017975388383
436,1304.452,11156,10501,655,157.84698328827434
437,1306.785,11273,10594,679,160.2376094101471
438,1309.1171,11185,10547,638,163.0842184254535
439,1311.4481,11232,10563,669,166.4974676863767
440,1313.7782,11233,10572,661,170.42509106352907
441,1316.1072,11114,10454,660,174.76008324212697
442,1318.4351,11292,10611,681,179.46025193451356
443,1320.7621,11392,10683,709,184.4604641516806
444,1323.088,11180,10451,729,189.69524624283437
445,1325.4129,11156,10484,672,195.12983768616334
446,1327.7368,11297,10503,794,200.6406408819521
447,1330.0597,11290,10473,817,206.11022135725293
448,1332.3815,11318,10507,811,211.58171827819746
449,1334.7023,11394,10575,819,217.11825610412555
450,1337.0221,11354,10496,858,222.80604316124388
451,1339.3409,11410,10571,839,228.75094282323587
452,1341.6586,11395,10624,771,234.90025632072326
453,1343.9754,11419,10565,854,241.16716854101736
454,1346.2911,11365,10531,834,247.53841490870616
455,1348.6058,11353,10496,857,253.97832691748425
456,1350.9194,11439,10559,880,260.5080527880699
457,1353.2321,11459,10690,769,267.1977538906417
458,1355.5437,11521,10636,885,273.9568232310556
459,1357.8543,11610,10671,939,280.70235496600014
460,1360.1639,11496,10608,888,287.53471775974157
461,1362.4725,11419,10501,918,294.5227611487544
462,1364.78,11451,10501,950,301.8368324772509
463,1367.0865,11260,10330,930,309.64775445000464
464,1369.392,11191,10287,904,317.7045207152677
465,1371.6965,11318,10372,946,325.66886654730075
466,1374.0,11421,10386,1035,333.293899159321
467,1376.3024,11351,10408,943,340.2773207090562
468,1378.6039,11326,10427,899,346.55403708411467
469,1380.9043,11361,10373,988,352.1809644671825
470,1383.2037,11321,10292,1029,356.90907525826583
471,1385.502,11200,10179,1021,360.557311472845
472,1387.7994,11255,10282,973,363.22218678216814
473,1390.0957,11263,10391,872,364.9401812803058
474,1392.391,11214,10316,898,366.1426550671949
475,1394.6853,11242,10306,936,367.3154065526652
476,1396.9786,11428,10463,965,368.0960669782004
477,1399.2709,11493,10515,978,368.07700676485314
478,1401.5621,11271,10357,914,366.9809055095013
479,1403.8523,11161,10226,935,364.46738403280847
480,1406.1416,11163,10179,984,361.11506713146855
481,1408.4297,11130,10191,939,357.9094309851647
482,1410.7169,11116,10173,943,355.05692590949434
483,1413.0031,11129,10174,955,352.84726114346773
484,1415.2882,11206,10265,941,352.1953874814319
485,1417.5723,11299,10325,974,353.7974858045894
486,1419.8555,11219,10329,890,358.79258029336137
487,1422.1376,11206,10326,880,368.2724392892681
488,1424.4186,11226,10251,975,381.46544066328823
489,1426.6987,11219,10244,975,397.06234094336713
490,1428.9777,11235,10256,979,414.16312989028506
491,1431.2558,11291,10196,1095,431.6281912520692
492,1433.5328,11429,10295,1134,448.7216230008368
493,1435.8088,11429,10299,1130,465.01664222892595
494,1438.0838,11361,10248,1113,479.35564797659197
495,1440.3578,11513,10292,1221,490.6831395705362
496,1442.6307,11489,10208,1281,498.9043337365855
497,1444.9027,11402,10199,1203,504.08775692540917
498,1447.1736,11372,10227,1145,506.7044001828728
499,1449.4435,11424,10292,1132,507.29892219763093
500,1451.7124,11470,10240,1230,505.5935458696398
501,1453.9803,11518,10258,1260,501.2835399211709
502,1456.2472,11433,10219,1214,493.7501806555565
503,1458.5131,11322,10085,1237,482.46940424040656
504,1460.7779,11154,10080,1074,468.0937261371699
505,1463.0418,11153,10150,1003,451.34746405703106
506,1465.3046,11083,10129,954,433.4986537503093
507,1467.5664,11032,10063,969,415.86367757001824
508,1469.8272,11073,10100,973,397.8810165265134
509,1472.087,11015,10164,851,378.74042752425686
510,1474.3458,11206,10325,881,357.7161833311184
511,1476.6036,11287,10378,909,333.97915620102225
512,1478.8604,11138,10161,977,308.44115330806204
513,1481.1161,11046,10140,906,282.5943747109946
514,1483.3709,10909,10048,861,257.1112464747461
515,1485.6246,10893,10052,841,232.76903344900302
516,1487.8773,10921,10163,758,210.3998081919044
517,1490.1291,10919,10112,807,190.50580846692623
518,1492.3798,10863,10132,731,174.05670222891467
519,1494.6295,10868,10164,704,161.96942901268426
520,1496.8782,10870,10160,710,153.77785342946078
521,1499.1259,10794,10091,703,148.58224469176483
522,1501.3725,10863,10140,723,145.8521034658827
523,1503.6182,10937,10226,711,144.85856593662064
524,1505.8629,10742,10040,702,144.9133075855918
525,1508.1065,10895,10102,793,145.552243784143
526,1510.3492,10807,10021,786,145.7665498897489
527,1512.5908,10715,9914,801,144.57535766280748
528,1514.8315,10710,9983,727,142.11365076971725
529,1517.0711,10745,9968,777,138.78712195651627
530,1519.3098,10783,9969,814,134.90150875320856
531,1521.5474,10675,9946,729,130.9003847007339
532,1523.784,10629,9973,656,126.82482142603482
533,1526.0196,10601,10021,580,122.54454366381299
534,1528.2542,10434,9818,616,118.26564891602345
535,1530.4878,10363,9738,625,114.18877164522269
536,1532.7204,10369,9757,612,110.23301114378233
537,1534.952,10420,9730,690,106.27289439294748
538,1537.1826,10388,9736,652,102.19935389515753
539,1539.4122,10393,9743,650,97.87218334754131
540,1541.6408,10305,9599,706,93.2527688197269
541,1543.8684,10042,9428,614,88.36834050937644
542,1546.095,9998,9467,531,83.16372678021607
543,1548.3206,10162,9524,638,77.59098259423652
544,1550.5452,10260,9599,661,71.77568201073679
545,1552.7688,10344,9761,583,65.90335211271582
546,1554.9914,10207,9676,531,60.07705965448054
547,1557.213,9991,9457,534,54.42405784438467
548,1559.4336,9941,9376,565,49.12331429222556
549,1561.6532,9862,9329,533,44.311906656066434
550,1563.8718,9790,9306,484,40.2100041450375
551,1566.0893,9621,9110,511,37.02781286295269
552,1568.3059,9551,8932,619,34.69251703167537
553,1570.5215,9582,8966,616,33.048926682292326
554,1572.7361,9555,8990,565,31.9965645513275
555,1574.9497,9433,8879,554,31.39621349658017
556,1577.1623,9286,8771,515,31.165095453482976
557,1579.374,9333,8848,485,31.26488198830317
558,1581.5846,9407,8875,532,31.550465728965374
559,1583.7942,9337,8775,562,31.88151055077395
560,1586.0028,9256,8765,491,32.26674641881369
561,1588.2104,9127,8657,470,32.74059116041601
562,1590.4171,9118,8594,524,33.34608425480105
563,1592.6227,9229,8691,538,34.14465574408792
564,1594.8273,9284,8695,589,35.10295767803939
565,1597.031,9196,8616,580,36.16153910154819
566,1599.2337,8893,8408,485,37.30860266187007
567,1601.4353,8953,8461,492,38.528140541212416
568,1603.636,9142,8603,539,39.807834089265064
569,1605.8357,9236,8661,575,41.14731188055529
570,1608.0344,9150,8630,520,42.51721454823916
